1,N,miles
2,N,miles
3,N,miles
4,N,miles
5,N,miles
6,Y,hours
7,Y,hours
8,Y,hours
9,Y,hours
10,Y,hours
11,Y,hours
12,Y,hours
13,Y,hours
14,Y,hours
15,Y,hours
16,Y,hours
17,Y,hours
18,Y,hours
19,Y,hours
20,Y,hours
21,Y,hours
22,Y,hours
23,Y,hours
24,Y,hours
25,Y,hours
26,Y,hours
27,Y,hours
28,Y,hours
29,Y,hours
30,Y,hours
31,Y,hours
32,Y,hours
33,Y,hours
34,Y,hours
35,Y,hours
36,Y,hours
37,Y,hours
38,Y,hours
39,Y,hours
40,Y,hours
41,Y,hours
42,Y,hours
43,Y,hours
44,Y,hours
45,Y,hours
46,Y,hours
47,Y,hours
48,Y,hours
49,Y,hours
50,Y,hours
